+2.50000001E+00 -2.30842973E-11 +1.61561948E-14 -4.73515235E-18 +4.98197357E-22 +2.54736599E+04 -4.46682914E-01;% 1 - H 
+2.56942078E+00 -8.59741137E-05 +4.19484589E-08 -1.00177799E-11 +1.22833691E-15 +2.92175791E+04 +4.78433864E+00;% 2 - O
+2.86472886E+00 +1.05650448E-03 -2.59082758E-07 +3.05218674E-11 -1.33195876E-15 +3.71885774E+03 +5.70164073E+00;% 3 - OH
+4.01721090E+00 +2.23982013E-03 -6.33658150E-07 +1.14246370E-10 -1.07908535E-14 +1.11856713E+02 +3.78510215E+00;% 4 - HO2
+3.33727920E+00 -4.94024731E-05 +4.99456778E-07 -1.79566394E-10 +2.00255376E-14 -9.50158922E+02 -3.20502331E+00;% 5 - H2
+3.03399249E+00 +2.17691804E-03 -1.64072518E-07 -9.70419870E-11 +1.68200992E-14 -3.00042971E+04 +4.96677010E+00;% 6 - H2O
+4.16500285E+00 +4.90831694E-03 -1.90139225E-06 +3.71185986E-10 -2.87908305E-14 -1.78617877E+04 +2.91615662E+00;% 7 - H2O2
+3.28253784E+00 +1.48308754E-03 -7.57966669E-07 +2.09470555E-10 -2.16717794E-14 -1.08845772E+03 +5.45323129E+00;% 8 - O2
+2.28571772E+00 +7.23990037E-03 -2.98714348E-06 +5.95684644E-10 -4.67154394E-14 +1.67755843E+04 +8.48007179E+00;% 9 - CH3 
+7.48514950E-02 +1.33909467E-02 -5.73285809E-06 +1.22292535E-09 -1.01815230E-13 -9.46834459E+03 +1.84373180E+01;%10 - CH4
+1.76069008E+00 +9.20000082E-03 -4.42258813E-06 +1.00641212E-09 -8.83855640E-14 -1.39958323E+04 +1.36563230E+01;%11 - CH2O
+2.71518561E+00 +2.06252743E-03 -9.98825771E-07 +2.30053008E-10 -2.03647716E-14 -1.41518724E+04 +7.81868772E+00;%12 - CO
+3.85746029E+00 +4.41437026E-03 -2.21481404E-06 +5.23490188E-10 -4.72084164E-14 -4.87591660E+04 +2.27163806E+00;%13 - CO2
+4.14756964E+00 +5.96166664E-03 -2.37294852E-06 +4.67412171E-10 -3.61235213E-14 +2.59359992E+04 -1.23028121E+00;%14 - C2H2
+2.03611116E+00 +1.46454151E-02 -6.71077915E-06 +1.47222923E-09 -1.25706061E-13 +4.93988614E+03 +1.03053693E+01;%15 - C2H4
+1.07188150E+00 +2.16852677E-02 -1.00256067E-05 +2.21412001E-09 -1.90002890E-13 -1.14263932E+04 +1.51156107E+01;%16 - C2H6
+0.59756699E+01 +0.81305914E-02 -0.27436245E-05 +0.40703041E-09 -0.21760171E-13 -0.96950000E+03 -0.50320879E+01;%17 - CH2CHO
+0.65007877E+01 +0.14324731E-01 -0.56781632E-05 +0.11080801E-08 -0.90363887E-13 +0.17482449E+05 -0.11243050E+02;%18 - aC3H5
+0.06732257E+02 +0.01490834E+00 -0.04949899E-04 +0.07212022E-08 -0.03766204E-12 -0.09235703E+04 -0.01331335E+03;%19 - C3H6
